code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
shape;Shape;;;;;;;;;specs;0;;;;;;;;;0;131;pim_catalog_simpleselect;0;1;;;
plant_type;"Plant Type";;;;;;;;;specs;0;;;;;;;;;0;132;pim_catalog_simpleselect;0;1;;;
shipping_price;"Shipping Price";;;;;;;;;shipping;0;;;;;;;;;0;133;pim_catalog_text;0;1;;;
is_price_hidden;"Is Price Hidden";;;;;;;;;coreinfo;0;;;;;;;;;0;10;pim_catalog_boolean;0;1;;;
is_visible;"Is Visible";;;;;;;;;coreinfo;0;;;;;;;;;0;11;pim_catalog_boolean;0;1;;;
meta_description;"Meta Description";;;;;;;;;marketing;0;;;;;;;;;0;139;pim_catalog_text;0;1;;;
open_graph_description;"Open Graph Description";;;;;;;;;marketing;0;;;;;;;;;0;140;pim_catalog_text;0;1;;;
open_graph_title;"Open Graph Title";;;;;;;;;marketing;0;;;;;;;;;0;141;pim_catalog_text;0;1;;;
open_graph_type;"Open Graph Type";;;;;;;;;marketing;0;;;;;;;;;0;142;pim_catalog_text;0;1;;;
open_graph_use_image;"Open Graph Use Image";;;;;;;;;marketing;0;;;;;;;;;0;143;pim_catalog_boolean;0;1;;;
open_graph_use_meta_description;"Open Graph Use Meta Description";;;;;;;;;marketing;0;;;;;;;;;0;144;pim_catalog_boolean;0;1;;;
open_graph_use_product_name;"Open Graph Use Product Name";;;;;;;;;marketing;0;;;;;;;;;0;145;pim_catalog_boolean;0;1;;;
page_title;"Page Title";;;;;;;;;marketing;0;;;;;;;;;0;148;pim_catalog_text;0;1;;;
price_hidden_label;"Price Hidden Label";;;;;;;;;pricing;0;;;;;;;;;0;4;pim_catalog_text;0;1;;;
search_keywords;"Search Keywords";;;;;;;;;marketing;0;;;;;;;;;0;153;pim_catalog_text;0;1;;;
series;Series;;;;;;;;;webinfo;0;;;;;;;;;0;15;pim_catalog_text;0;1;;;
upc;UPC;;;;;;;;;coreinfo;0;;;;;;;;;0;13;pim_catalog_text;0;1;;;
dining_tables_width_range;"Dining Tables Width Range";;;;;;;;;dimensions;0;;;;;;;;;0;28;pim_catalog_multiselect;0;1;;;
accent_tables_width_range;"Accent Tables Width Range";;;;;;;;;dimensions;0;;;;;;;;;0;29;pim_catalog_multiselect;0;1;;;
fire_pits_width_range;"Fire Pits Width Range";;;;;;;;;dimensions;0;;;;;;;;;0;30;pim_catalog_multiselect;0;1;;;
planters_width_range;"Planters Width Range";;;;;;;;;dimensions;0;;;;;;;;;0;31;pim_catalog_multiselect;0;1;;;
dining_tables_height_range;"Dining Tables Height Range";;;;;;;;;dimensions;0;;;;;;;;;0;32;pim_catalog_multiselect;0;1;;;
accent_tables_height_range;"Accent Tables Height Range";;;;;;;;;dimensions;0;;;;;;;;;0;33;pim_catalog_multiselect;0;1;;;
planters_height_range;"Planters Height Range";;;;;;;;;dimensions;0;;;;;;;;;0;34;pim_catalog_multiselect;0;1;;;
fire_pits_depth_range;"Fire Pits Depth Range";;;;;;;;;dimensions;0;;;;;;;;;0;35;pim_catalog_multiselect;0;1;;;
planters_depth_range;"Planters Depth Range";;;;;;;;;dimensions;0;;;;;;;;;0;36;pim_catalog_multiselect;0;1;;;
dining_tables_length_range;"Dining Tables Length Range";;;;;;;;;dimensions;0;;;;;;;;;0;37;pim_catalog_multiselect;0;1;;;
accent_tables_length_range;"Accent Tables Length Range";;;;;;;;;dimensions;0;;;;;;;;;0;38;pim_catalog_multiselect;0;1;;;
cushion_dimensions;"Cushion Dimensions";;;;;;;;;dimensions;0;;;;;;;;;0;39;pim_catalog_text;0;1;;;
primary_image_description;"Primary Image Description";;;;;;;;;media;0;;;;;;;;;0;10;pim_catalog_text;0;1;;;
lifestyle_image_description;"Lifestyle Image Description";;;;;;;;;media;0;;;;;;;;;0;12;pim_catalog_text;0;1;;;
image_description_1;"Image Description 1";;;;;;;;;media;0;;;;;;;;;0;14;pim_catalog_text;0;1;;;
image_description_2;"Image Description 2";;;;;;;;;media;0;;;;;;;;;0;17;pim_catalog_text;0;1;;;
image_description_3;"Image Description 3";;;;;;;;;media;0;;;;;;;;;0;19;pim_catalog_text;0;1;;;
image_description_4;"Image Description 4";;;;;;;;;media;0;;;;;;;;;0;21;pim_catalog_text;0;1;;;
image_description_5;"Image Description 5";;;;;;;;;media;0;;;;;;;;;0;23;pim_catalog_text;0;1;;;
image_description_6;"Image Description 6";;;;;;;;;media;0;;;;;;;;;0;25;pim_catalog_text;0;1;;;
image_description_7;"Image Description 7";;;;;;;;;media;0;;;;;;;;;0;27;pim_catalog_text;0;1;;;
image_description_8;"Image Description 8";;;;;;;;;media;0;;;;;;;;;0;29;pim_catalog_text;0;1;;;
image_description_9;"Image Description 9";;;;;;;;;media;0;;;;;;;;;0;31;pim_catalog_text;0;1;;;
